"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_id_clean","expression_status","gene_symbol","gene_biotype"
"ENSG00000099953.10",15038.0893274244,-6.9015755024196,0.437253335742711,-15.7839287622511,4.01406156342593e-56,1.40632646874628e-51,"ENSG00000099953","Down-regulated","MMP11","protein_coding"
"ENSG00000123500.10",7133.62159791379,-8.3971927596249,0.562921672494268,-14.9171601839693,2.54892713477089e-50,4.4650831083349e-46,"ENSG00000123500","Down-regulated","COL10A1","protein_coding"
"ENSG00000137745.12",538.411275896151,-7.19567192096128,0.532871691277404,-13.5035732592808,1.48971809449644e-41,1.73974244802276e-37,"ENSG00000137745","Down-regulated","MMP13","protein_coding"
"ENSG00000060718.22",9296.53716488859,-6.88814281686783,0.558636944312688,-12.3302672460064,6.22399586390213e-35,5.45144237729527e-31,"ENSG00000060718","Down-regulated","COL11A1","protein_coding"
"ENSG00000091704.10",56.7724371024325,6.44759844637681,0.549383175606702,11.7360682537402,8.32682911531361e-32,4.86217430091688e-28,"ENSG00000091704","Over-expressed","CPA1","protein_coding"
"ENSG00000059573.9",6496.72635409825,-1.12519067897788,0.097865884472928,-11.4972718535961,1.36151030444515e-30,6.81435907374797e-27,"ENSG00000059573","Down-regulated","ALDH18A1","protein_coding"
"ENSG00000172156.4",29.1606239259111,-4.21433682395371,0.366931177080032,-11.4853604359559,1.56282313798729e-30,6.84418857992308e-27,"ENSG00000172156","Down-regulated","CCL11","protein_coding"
"ENSG00000119771.15",973.427332066414,3.04183012539196,0.265540806017213,11.4552266787756,2.21383332075372e-30,8.61796115473407e-27,"ENSG00000119771","Over-expressed","KLHL29","protein_coding"
"ENSG00000224940.9",259.282924854861,6.18442555287002,0.54349700957535,11.378950470587,5.32365390997983e-30,1.86514214736143e-26,"ENSG00000224940","Over-expressed","PRRT4","protein_coding"
"ENSG00000119927.14",17651.7009609311,4.45054032647668,0.404309878754573,11.0077456929473,3.50668216152762e-28,1.11687826844655e-24,"ENSG00000119927","Over-expressed","GPAM","protein_coding"
"ENSG00000122641.11",4206.54286255403,-4.03615433099278,0.368514484835876,-10.9524984690638,6.46396543497502e-28,1.88720857511958e-24,"ENSG00000122641","Down-regulated","INHBA","protein_coding"
"ENSG00000185149.6",176.439983528632,7.46345643200948,0.685512943836096,10.8874040951646,1.32359339905991e-27,3.56708421046645e-24,"ENSG00000185149","Over-expressed","NPY2R","protein_coding"
"ENSG00000165474.8",2999.44036085614,-5.58685261441518,0.5147320651742,-10.8539043755209,1.9108454147298e-27,4.78189065036132e-24,"ENSG00000165474","Down-regulated","GJB2","protein_coding"
"ENSG00000169241.19",3097.45394095838,-1.81531014593229,0.170775579322419,-10.6297993725733,2.16577881318819e-26,5.05853738133654e-23,"ENSG00000169241","Down-regulated","SLC50A1","protein_coding"
