"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_id_clean","expression_status","gene_symbol","gene_biotype"
"ENSG00000230838.1",215.132927574798,-6.5075852983749,0.534181882985431,-12.1823399588271,3.8604463085007e-34,2.70501472836644e-30,"ENSG00000230838","Down-regulated","LINC01614","lincRNA"
"ENSG00000245025.3",181.862951503885,2.07922315295956,0.215831208078648,9.63356120492964,5.76945534781588e-22,5.05332170276823e-19,"ENSG00000245025","Over-expressed","RP11-875O11.1","antisense"
"ENSG00000250538.6",50.1093070073746,7.88855857709219,0.82085508228255,9.61017206003829,7.24278546941218e-22,5.91955974005139e-19,"ENSG00000250538","Over-expressed","RP11-92A5.2","antisense"
"ENSG00000260102.2",22.7019945748382,7.6148632568635,0.824429498082874,9.2365244991489,2.54633750452919e-20,1.43888603985775e-17,"ENSG00000260102","Over-expressed","LINC01070","lincRNA"
"ENSG00000274021.1",125.518921367276,3.52247410781946,0.395261261763072,8.91176153237832,5.02280752075314e-19,2.09492930344745e-16,"ENSG00000274021","Over-expressed","RP11-823E8.3","lincRNA"
"ENSG00000262097.2",142.653072834726,3.62647668642967,0.410946007566655,8.82470353685443,1.09750156779882e-18,4.13451262664857e-16,"ENSG00000262097","Over-expressed","CTD-2135D7.5","lincRNA"
"ENSG00000250934.2",28.3727947146411,4.51883066558346,0.515420919303629,8.76726282605823,1.8306211651112e-18,6.54447066527256e-16,"ENSG00000250934","Over-expressed","RP11-71E19.1","lincRNA"
"ENSG00000286214.1",1476.7262719759,4.70137060602001,0.54612205007967,8.60864454261489,7.39294994576441e-18,2.31260715490943e-15,"ENSG00000286214","Over-expressed",NA,NA
"ENSG00000227467.3",91.6737917726975,4.42197397199124,0.516209921292479,8.56623204939488,1.06926302056278e-17,3.20184871157411e-15,"ENSG00000227467","Over-expressed","LINC01537","lincRNA"
"ENSG00000260306.1",24.2785929517088,3.27632789258611,0.385510854580364,8.498665740949,1.91782274631339e-17,5.24929061852264e-15,"ENSG00000260306","Over-expressed","RP11-645C24.5","lincRNA"
"ENSG00000254211.6",119.575372154103,5.32940516047835,0.628820985545901,8.4752342605928,2.34606960619229e-17,6.32265758868823e-15,"ENSG00000254211","Over-expressed","LINC01485","lincRNA"
"ENSG00000189136.9",126.253472142629,1.77583508286569,0.211361518664519,8.40188457239636,4.39369609982872e-17,1.13415027606705e-14,"ENSG00000189136","Over-expressed","UBE2Q2P1","transcribed_unprocessed_pseudogene"
"ENSG00000279019.1",24.236185383562,2.85752987342322,0.34562006611468,8.26783556159342,1.36412864516391e-16,3.251173270974e-14,"ENSG00000279019","Over-expressed","RP11-407G23.2","TEC"
"ENSG00000286081.1",34.8512960912713,4.57941505525404,0.553980570405268,8.26638207167436,1.38085523193511e-16,3.25922974766971e-14,"ENSG00000286081","Over-expressed",NA,NA
"ENSG00000287335.1",33.617808808216,-5.73750407361963,0.694593582759332,-8.26023190543584,1.45389719333508e-16,3.3733303422844e-14,"ENSG00000287335","Down-regulated",NA,NA
"ENSG00000261742.6",55.0613275818165,-5.46814211918368,0.662890936528502,-8.24893178932243,1.59816618882379e-16,3.65959166179357e-14,"ENSG00000261742","Down-regulated","LINC00922","lincRNA"
"ENSG00000226622.6",23.2059337323587,6.22694628668664,0.763990816357434,8.15055122831916,3.62269136352397e-16,7.83462913092978e-14,"ENSG00000226622","Over-expressed","AC092155.4","antisense"
"ENSG00000166473.17",333.01931697017,3.74052545089767,0.464140040952471,8.05904494518866,7.68928252026504e-16,1.53939436055706e-13,"ENSG00000166473","Over-expressed","PKD1L2","polymorphic_pseudogene"
"ENSG00000248668.3",37.3308601309876,2.65885132961524,0.33114990839758,8.02914710887679,9.81526083293082e-16,1.93189698472883e-13,"ENSG00000248668","Over-expressed","OXCT1-AS1","processed_transcript"
"ENSG00000231007.5",56.4713905242565,2.68811505086936,0.335722234971055,8.00696162141635,1.17577163209819e-15,2.26336039178902e-13,"ENSG00000231007","Over-expressed","CDC20P1","processed_pseudogene"
"ENSG00000261327.5",52.4957410576399,-4.09675588767229,0.512782638015558,-7.98926403500424,1.35746682617046e-15,2.58472012254793e-13,"ENSG00000261327","Down-regulated","RP11-863P13.3","lincRNA"
"ENSG00000230910.4",16.608502154145,3.49716524043033,0.440456532136041,7.93986462970694,2.0240203061945e-15,3.63648981679611e-13,"ENSG00000230910","Over-expressed","RP3-525N10.2","antisense"
"ENSG00000259728.5",86.3168016704003,2.02597457270677,0.261076656268661,7.76007553360857,8.48788185080911e-15,1.31001295437488e-12,"ENSG00000259728","Over-expressed","LINC00933","transcribed_unprocessed_pseudogene"
"ENSG00000248896.3",44.3859456742112,1.87039567042348,0.243667761492823,7.67600793377246,1.64122966652446e-14,2.33741794173514e-12,"ENSG00000248896","Over-expressed","CTD-2135J3.3","antisense"
"ENSG00000281769.1",192.461066627396,6.22566303609407,0.811218273635807,7.67446104017259,1.66115600302245e-14,2.35621864639237e-12,"ENSG00000281769","Over-expressed","LINC01230","lincRNA"
"ENSG00000279036.1",12.6460355574355,4.35538043961805,0.56930876113925,7.65029582699984,2.0051747782763e-14,2.78774993479802e-12,"ENSG00000279036","Over-expressed","RP11-81K2.2","TEC"
"ENSG00000177234.7",15.7911545012355,-4.93670851734754,0.647039608705972,-7.62968518607472,2.35327665265564e-14,3.20805632396072e-12,"ENSG00000177234","Down-regulated","LINC01561","lincRNA"
"ENSG00000226005.5",44.321965279352,4.35874859672527,0.572905383750454,7.608147384113,2.7805266244753e-14,3.74675962648047e-12,"ENSG00000226005","Over-expressed","RP11-464C19.3","lincRNA"
