"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_id_clean","expression_status","gene_symbol","gene_biotype"
"ENSG00000091704.10",56.7724371024325,6.44759844637681,0.549383175606702,11.7360682537402,8.32682911531361e-32,4.86217430091688e-28,"ENSG00000091704","Over-expressed","CPA1","protein_coding"
"ENSG00000119771.15",973.427332066414,3.04183012539196,0.265540806017213,11.4552266787756,2.21383332075372e-30,8.61796115473407e-27,"ENSG00000119771","Over-expressed","KLHL29","protein_coding"
"ENSG00000224940.9",259.282924854861,6.18442555287002,0.54349700957535,11.378950470587,5.32365390997983e-30,1.86514214736143e-26,"ENSG00000224940","Over-expressed","PRRT4","protein_coding"
"ENSG00000119927.14",17651.7009609311,4.45054032647668,0.404309878754573,11.0077456929473,3.50668216152762e-28,1.11687826844655e-24,"ENSG00000119927","Over-expressed","GPAM","protein_coding"
"ENSG00000185149.6",176.439983528632,7.46345643200948,0.685512943836096,10.8874040951646,1.32359339905991e-27,3.56708421046645e-24,"ENSG00000185149","Over-expressed","NPY2R","protein_coding"
"ENSG00000137285.10",387.023356054712,2.98984732037518,0.286733477289759,10.4272697720391,1.86160543006544e-25,3.26106731211713e-22,"ENSG00000137285","Over-expressed","TUBB2B","protein_coding"
"ENSG00000083067.23",65.5915489224991,3.71286302202717,0.356409499309861,10.4174075865448,2.06505295700258e-25,3.44519668326598e-22,"ENSG00000083067","Over-expressed","TRPM3","protein_coding"
"ENSG00000196549.12",9102.93017192871,3.76240651401876,0.365935734891431,10.2816045422157,8.5295607622196e-25,1.24513817210152e-21,"ENSG00000196549","Over-expressed","MME","protein_coding"
"ENSG00000205364.4",228.191683554787,3.17043043839124,0.313481997313956,10.1135965240646,4.8085923717198e-24,6.23959384234086e-21,"ENSG00000205364","Over-expressed","MT1M","protein_coding"
"ENSG00000171303.7",194.283231005204,3.44135449429592,0.345236205785985,9.96811584828169,2.10178044575616e-23,2.62985278275239e-20,"ENSG00000171303","Over-expressed","KCNK3","protein_coding"
"ENSG00000170509.12",164.397671648076,5.19990303358958,0.525177480000234,9.90123002529975,4.11186291291206e-23,4.36542779254163e-20,"ENSG00000170509","Over-expressed","HSD17B13","protein_coding"
"ENSG00000158445.10",769.548538321189,4.31320765519449,0.444088053965801,9.71250547425589,2.66699298378697e-22,2.74817938785225e-19,"ENSG00000158445","Over-expressed","KCNB1","protein_coding"
"ENSG00000186642.16",2623.15053326205,4.28708768037071,0.442842968837496,9.68083041179296,3.63749304148107e-22,3.50840236740095e-19,"ENSG00000186642","Over-expressed","PDE2A","protein_coding"
"ENSG00000077157.22",9052.62125944951,2.07997856393912,0.214897228373223,9.67894551123158,3.70517732535564e-22,3.50840236740095e-19,"ENSG00000077157","Over-expressed","PPP1R12B","protein_coding"
"ENSG00000245025.3",181.862951503885,2.07922315295956,0.215831208078648,9.63356120492964,5.76945534781588e-22,5.05332170276823e-19,"ENSG00000245025","Over-expressed","RP11-875O11.1","antisense"
"ENSG00000250538.6",50.1093070073746,7.88855857709219,0.82085508228255,9.61017206003829,7.24278546941218e-22,5.91955974005139e-19,"ENSG00000250538","Over-expressed","RP11-92A5.2","antisense"
"ENSG00000173641.18",3490.3724691439,5.97860122519529,0.622585782821174,9.60285536573605,7.7759819957035e-22,6.19162566407891e-19,"ENSG00000173641","Over-expressed","HSPB7","protein_coding"
"ENSG00000167676.4",79610.8445696543,7.37518691292804,0.786512898460758,9.37707051894713,6.78311360631898e-21,4.84992622851807e-18,"ENSG00000167676","Over-expressed","PLIN4","protein_coding"
"ENSG00000123689.6",6634.21233192923,5.10814593044557,0.545821688446424,9.35863495088463,8.07734628830939e-21,5.54882014139058e-18,"ENSG00000123689","Over-expressed","G0S2","protein_coding"
"ENSG00000149090.12",2363.40346166618,4.28613771033606,0.46173658713273,9.28264692419527,1.65319601306574e-20,1.01613547925892e-17,"ENSG00000149090","Over-expressed","PAMR1","protein_coding"
"ENSG00000135437.10",283.420631359295,4.78281075752166,0.515556395444151,9.27698851141452,1.74336261045785e-20,1.05308119064467e-17,"ENSG00000135437","Over-expressed","RDH5","protein_coding"
"ENSG00000260102.2",22.7019945748382,7.6148632568635,0.824429498082874,9.2365244991489,2.54633750452919e-20,1.43888603985775e-17,"ENSG00000260102","Over-expressed","LINC01070","lincRNA"
"ENSG00000168874.13",1005.94678992008,4.79981640372466,0.522891559713175,9.17937250002185,4.33610765520732e-20,2.37368018281544e-17,"ENSG00000168874","Over-expressed","ATOH8","protein_coding"
"ENSG00000198838.14",462.067698877072,2.68549299385032,0.294713557000389,9.11221397883225,8.07176571666269e-20,4.09846828816344e-17,"ENSG00000198838","Over-expressed","RYR3","protein_coding"
"ENSG00000134962.7",1497.06424875682,4.90547706202687,0.540949550828164,9.06827088499632,1.20920624979341e-19,5.88396402243225e-17,"ENSG00000134962","Over-expressed","KLB","protein_coding"
"ENSG00000068976.14",226.914977414999,3.46795543347906,0.382522017477544,9.06602829386847,1.23434407129482e-19,5.92400610107043e-17,"ENSG00000068976","Over-expressed","PYGM","protein_coding"
"ENSG00000130876.11",689.042344848245,6.33005248825826,0.705210147128624,8.97612224389011,2.80477729953137e-19,1.27617367128677e-16,"ENSG00000130876","Over-expressed","SLC7A10","protein_coding"
"ENSG00000197245.6",362.494280021478,3.04964452513819,0.341390492255488,8.93300954279629,4.14573899541206e-19,1.79316007042298e-16,"ENSG00000197245","Over-expressed","FAM110D","protein_coding"
"ENSG00000009950.16",950.414464040251,4.83375701715027,0.541755919562473,8.92238892572519,4.56336470282473e-19,1.92623472727066e-16,"ENSG00000009950","Over-expressed","MLXIPL","protein_coding"
"ENSG00000274021.1",125.518921367276,3.52247410781946,0.395261261763072,8.91176153237832,5.02280752075314e-19,2.09492930344745e-16,"ENSG00000274021","Over-expressed","RP11-823E8.3","lincRNA"
"ENSG00000112964.14",5178.9974189602,3.42845518938279,0.384973875482031,8.90568271701546,5.3058482920369e-19,2.18694582248838e-16,"ENSG00000112964","Over-expressed","GHR","protein_coding"
"ENSG00000137070.18",688.879480417525,1.7993155504415,0.203723967605049,8.83212501500932,1.02705561249466e-18,3.92594613005454e-16,"ENSG00000137070","Over-expressed","IL11RA","protein_coding"
"ENSG00000262097.2",142.653072834726,3.62647668642967,0.410946007566655,8.82470353685443,1.09750156779882e-18,4.13451262664857e-16,"ENSG00000262097","Over-expressed","CTD-2135D7.5","lincRNA"
"ENSG00000053438.11",371.49577250085,4.16944121298982,0.47551323271269,8.76829691826692,1.8138897899769e-18,6.54447066527256e-16,"ENSG00000053438","Over-expressed","NNAT","protein_coding"
"ENSG00000250934.2",28.3727947146411,4.51883066558346,0.515420919303629,8.76726282605823,1.8306211651112e-18,6.54447066527256e-16,"ENSG00000250934","Over-expressed","RP11-71E19.1","lincRNA"
"ENSG00000159433.12",1796.33648787711,2.5892842441068,0.295609977612319,8.75912330504131,1.96774775628897e-18,6.8940042641584e-16,"ENSG00000159433","Over-expressed","STARD9","protein_coding"
"ENSG00000105974.13",24882.2365443168,3.43945410058249,0.393020032471629,8.7513455203604,2.10823795795563e-18,7.25264399857839e-16,"ENSG00000105974","Over-expressed","CAV1","protein_coding"
"ENSG00000056998.20",7504.60068253418,4.63526521987032,0.529673759004679,8.75117020820618,2.11151616342228e-18,7.25264399857839e-16,"ENSG00000056998","Over-expressed","GYG2","protein_coding"
"ENSG00000187134.14",2840.20787850423,5.22650776680231,0.599865000340777,8.71280665455259,2.9644202286441e-18,9.89128216290915e-16,"ENSG00000187134","Over-expressed","AKR1C1","protein_coding"
"ENSG00000168079.17",3966.29422969853,7.01774285568502,0.80945552788148,8.66970774052525,4.33230940456408e-18,1.41852766344769e-15,"ENSG00000168079","Over-expressed","SCARA5","protein_coding"
"ENSG00000180914.10",6511.22847878977,4.9857742892917,0.577716084757122,8.63014622725585,6.12735871225738e-18,1.96946800443979e-15,"ENSG00000180914","Over-expressed","OXTR","protein_coding"
"ENSG00000286214.1",1476.7262719759,4.70137060602001,0.54612205007967,8.60864454261489,7.39294994576441e-18,2.31260715490943e-15,"ENSG00000286214","Over-expressed",NA,NA
"ENSG00000135424.18",5855.49468641894,4.62521113148184,0.538817021117956,8.58401080553337,9.16213609056492e-18,2.81574945555212e-15,"ENSG00000135424","Over-expressed","ITGA7","protein_coding"
"ENSG00000179094.16",5172.32594073565,2.88678075350535,0.336609275192865,8.57605825582592,9.8179833920015e-18,2.99106998381541e-15,"ENSG00000179094","Over-expressed","PER1","protein_coding"
"ENSG00000227467.3",91.6737917726975,4.42197397199124,0.516209921292479,8.56623204939488,1.06926302056278e-17,3.20184871157411e-15,"ENSG00000227467","Over-expressed","LINC01537","lincRNA"
"ENSG00000185267.10",162.514624516186,1.84447056265712,0.216476385622831,8.52042386678958,1.58970439858868e-17,4.5651880003733e-15,"ENSG00000185267","Over-expressed","CDNF","protein_coding"
"ENSG00000130176.8",5490.53624297796,3.65716927806518,0.429621919769428,8.51252952835352,1.70179406475793e-17,4.83240189297388e-15,"ENSG00000130176","Over-expressed","CNN1","protein_coding"
"ENSG00000123243.15",11102.9849995571,4.87332430529535,0.572570858858748,8.51130341318609,1.71988931474202e-17,4.83240189297388e-15,"ENSG00000123243","Over-expressed","ITIH5","protein_coding"
"ENSG00000130226.17",123.97634768414,3.58256368505665,0.420985662196794,8.50994227775372,1.74019963942096e-17,4.83872177516772e-15,"ENSG00000130226","Over-expressed","DPP6","protein_coding"
"ENSG00000260306.1",24.2785929517088,3.27632789258611,0.385510854580364,8.498665740949,1.91782274631339e-17,5.24929061852264e-15,"ENSG00000260306","Over-expressed","RP11-645C24.5","lincRNA"
"ENSG00000144230.16",72.5231479325375,4.12629815686962,0.486712283357097,8.47790018449604,2.29294549224445e-17,6.22739111013832e-15,"ENSG00000144230","Over-expressed","GPR17","protein_coding"
"ENSG00000254211.6",119.575372154103,5.32940516047835,0.628820985545901,8.4752342605928,2.34606960619229e-17,6.32265758868823e-15,"ENSG00000254211","Over-expressed","LINC01485","lincRNA"
"ENSG00000137225.13",240.333210071963,3.08383832349069,0.364664055043465,8.45665560079159,2.7515502842022e-17,7.35882169519269e-15,"ENSG00000137225","Over-expressed","CAPN11","protein_coding"
"ENSG00000163815.6",1366.30187127603,4.45606822589537,0.527127321246017,8.45349509746936,2.82709813792422e-17,7.50358964107386e-15,"ENSG00000163815","Over-expressed","CLEC3B","protein_coding"
"ENSG00000022267.19",31750.6809376177,5.19362879270494,0.614559225539103,8.4509817392278,2.88863438792096e-17,7.60927111133915e-15,"ENSG00000022267","Over-expressed","FHL1","protein_coding"
"ENSG00000189136.9",126.253472142629,1.77583508286569,0.211361518664519,8.40188457239636,4.39369609982872e-17,1.13415027606705e-14,"ENSG00000189136","Over-expressed","UBE2Q2P1","transcribed_unprocessed_pseudogene"
"ENSG00000258311.5",75.1816208078692,3.32837405467998,0.396648917972451,8.39123442386689,4.81064005501205e-17,1.23022463012662e-14,"ENSG00000258311","Over-expressed","RP11-644F5.10","protein_coding"
"ENSG00000168477.19",14536.0195590171,5.51702536759958,0.658922102679428,8.37280362149829,5.62633231754406e-17,1.41811908449753e-14,"ENSG00000168477","Over-expressed","TNXB","protein_coding"
